Username,Comment
@attafriski5901,"Rekap:
1. HTML&CSS
2. JS&PHP
3. Konsep-konsep
4.   
5. Ngerti Debugging
6. Mampu kerja dibawah tekanan"
@user-nzxyejs,"""Mampu bekerja di bawah tekanan"""
@megumikato6899,"1. siap bekerja di bawah tekanan
2. berpenampilan menarik
3. bersedia penempatan dimanapun
4. menguasai elemen air, tanah dan api
5. bisa membelah lautan
6. bisa menghidupkan orang mati
7. bisa merubah tongkat jadi ular"
@doyaknodawae9766,"Banh, Point nomor 6 harusnya di 3 banh"
@GaptekIT_AbdulMajid_2001,@megumikato6899  awokawokk malah jadi mukjizat
@Irwansyah-kq8lf,@megumikato6899  7. Bisa berbicara dgn segala hewan
@gillarajieprasatya8798,@user-nzxyejs  hydraulic press? jirr mati dong.
@gillarajieprasatya8798,"@megumikato6899  gak tau kenapa tapi asa akurat, di indonesia gini loh, satu jabatan tapi isi kerjaannya tuh gak relate paling cuman beberapa point yang relatenya tuh, indonesia mah hrdnya sedari dulu kyk gini mulu cari superman tapi ngegaji maunya umr. miris sih, saran klo + fasih bhs inggris mending cari di luar aja."
@ekohendratno,"tambahain bang, harus bisa metode a, sampai z"
@mattttt3470,@megumikato6899  minimal spek Avatar harus adaa yaa
@naufalhdhbtllh,@user-nzxyejs  ini hampir di semua perusahaan & bidang sih
@damaroro,"Nambahin Starter pack yg paling krusial bagi junior juga adalah MENTAL dan SOFT SKILL 

Apalagi banyak junior dev tapi kerjaan bagaikan senior dev ( pengalaman pribadi )"
@deaafrizal,"wkwkwk dari hati banget ini mah ngomennya, bener dah best!"
@awikwok212,"junior dev tapi kerjaan bagaikan senior dev 

gmn caranya?"
@daffadev12,Sp3k dewa gaji yaudah lah ya
@gustamrheza9347,"@awikwok212  kalo kerja jadi programmer ga seterusnya kerja sesuai dengan requirement/job desc pas kita apply kerja, karna nnti kalian bakalan ada tuntutan dari perusahaan, contoh kalo lu seorang front end web developer mungkin aja nnti setelah lo kerja beberapa bulan disuruh buat bikin mobile app, dan menurut gue itu wajar sih karna kita bisa berkembang diperusahaan itu"
@musuhabadi2534,"@gustamrheza9347  njir beberapa bulan udh disuruh bikin mobile app, berarti ga bertahap ya harus tiba2 jadi dewa programmer wkwkwk"
@grudgedroidlime5299,bagaikan senior dev yakin? gue skrang senior dev udah ga se hectic dulu pas junior
@damaroro,@grudgedroidlime5299  waini kerja di mana mas ? sy mau apply disitu :D
@gustamrheza9347,"@musuhabadi2534  temen gue ada yg lebih parah bro, dia kerja disebuah software house gitu apply sebagai front end web tapi disuruh bikin rest api juga, bahkan kadang bikin mobile app pake kotlin"
@grudgedroidlime5299,"@damaroro  jgn buka kartu dsini deh, nanti dibaca hr  yg pasti jangan software house, it consultant, vendor pasti kerja rodi. end user atau corporate agak santai kerjanya"
@a1inthehouse174,Udah kayak Xiao Mi aja. Hape murah spek tumpah ruah
@Adi.purnama,"Jangan takut, gw cuma bisa html css php js. Udah itu doang allhamdulillah udah 30n lebih project yg terselesaikan dan bisa nylesaiin kuliah sendiri, berangkatin orangtua haji, nguliahken sama nikahken adek sekalian. Tinggal waktunya nyari jodoh. Minta doanya teman” tetep semangat."
@Erhandez,"menurut gw:
1. Ngerti konsep MVC
2. Minimal kuasain 1 Framework, entah dari PHP, Java, atau Python 
3. Tau Framework di setiap bahasa contoh: PHP (Codeigniter, Laravel, dsb) , Java (React Js, dsb), Python (Django, Odoo, dsb)
4. ikutin perkembangan update an Framework, jangan pake framework lama (ntar jadi programmer kolot)
5. Banyakin refrensi Function dan asah logic di Competitive Programming (Online Judge) cth: aizu online judge 
6. Paham Flow dan mampu debugging pada setiap framework
7.  jangan takut buat ambil project dan apabila gagal harus belajar dari kesalahan.
8. banyakin refrensi pembelajaran website, even lu udah kuasain framework atau bahasa itu tetep aja harus ditonton ulang, bahkan kalo bisa beli course juga biar hasil codingan bisa Clean Code + sertifikat .
9. usahakan kalo megang project itu bikinnya Agile jangan Waterfall ( biar sesuai dengan keinginan customer / ekspetasi) kalo masih pake waterfall ya ga bakal maju ampe kapanpun wkwkwk

yang terakhir dan paling terakhir coba coding pake Three JS karena itu lagi trend. intinya jangan ketinggalan trend! 

Erelte was here"
@rhenaldkarrel,"sebagai junior yang dpt pengalaman pertama kali kerja langsung di software house, mampu bekerja dibawah tekanan adalah suatu keharusan yang sangat2 penting wkkwkw. karena software house project nya banyak dan variatif, dan studi kasus yang mau diselesaiin beragam tergantung kebutuhan client. dan terkadang kebutuhan client gaada di google."
@AndRe-ib8pd,"1. HTML&CSS
2. JS&PHP
3. Konsep-konsep
4.   ....
5. Ngerti Debugging
6. Mampu kerja dibawah tekanan
7. Mengendalikan air
8. Mengendarai jet Tempur
kwokwoowkowkokwpow"
